x,y,simtime,communication_radius,"max_vehicle_communication",id
1498.87,847.16,7.208,100.0,15.0,1
1457.38,1043.5,7.208,100.0,15.0,204c
583.69,854.5,7.42,100.0,15.0,9
323.63,227.57,7.42,100.0,15.0,12
977.75,829.69,7.42,100.0,15.0,52
1425.56,1082.94,7.42,100.0,15.0,78
768.63,816.34,7.42,100.0,15.0,53
1470.88,1073.94,7.42,100.0,15.0,44
778.0,613.44,7.42,100.0,15.0,82
1573.69,569.0,7.42,100.0,15.0,27
1504.51,825.41,7.42,100.0,15.0,1c
798.63,778.69,7.42,100.0,15.0,15
1489.07,825.69,7.42,100.0,15.0,3
1579.38,473.19,7.42,100.0,15.0,34
874.28,625.54,7.42,100.0,15.0,63
1485.04,841.29,7.42,100.0,15.0,1b
1498.87,847.16,7.42,100.0,15.0,1
1457.38,1043.5,7.42,100.0,15.0,204c
583.69,854.5,7.632,100.0,15.0,9
323.63,227.57,7.632,100.0,15.0,12
977.75,829.69,7.632,100.0,15.0,52
1425.56,1082.94,7.632,100.0,15.0,78
768.63,816.34,7.632,100.0,15.0,53
1470.88,1073.94,7.632,100.0,15.0,44
778.0,613.44,7.632,100.0,15.0,82
1573.69,569.0,7.632,100.0,15.0,27
1504.51,825.41,7.632,100.0,15.0,1c
798.63,778.69,7.632,100.0,15.0,15
1489.07,825.69,7.632,100.0,15.0,3
1579.38,473.19,7.632,100.0,15.0,34
874.28,625.54,7.632,100.0,15.0,63
1485.04,841.29,7.632,100.0,15.0,1b
1498.87,847.16,7.632,100.0,15.0,1
1457.38,1043.5,7.632,100.0,15.0,204c
583.69,854.5,7.844,100.0,15.0,9
323.63,227.57,7.844,100.0,15.0,12
977.75,829.69,7.844,100.0,15.0,52
1425.56,1082.94,7.844,100.0,15.0,78
768.63,816.34,7.844,100.0,15.0,53
1470.88,1073.94,7.844,100.0,15.0,44
778.0,613.44,7.844,100.0,15.0,82
1573.69,569.0,7.844,100.0,15.0,27
1504.51,825.41,7.844,100.0,15.0,1c
798.63,778.69,7.844,100.0,15.0,15
1489.07,825.69,7.844,100.0,15.0,3
1579.38,473.19,7.844,100.0,15.0,34
